THETA,RHO,YEAR
148.4,3.727,2000
145.8,3.974,2001
143.6,4.211,2002
141.6,4.437,2003
139.8,4.652,2004
138.1,4.856,2005
136.6,5.049,2006
135.2,5.231,2007
133.8,5.402,2008
132.6,5.562,2009
131.4,5.711,2010
130.3,5.849,2011
129.2,5.977,2012
128.2,6.094,2013
127.2,6.201,2014
126.2,6.298,2015
125.3,6.385,2016
124.4,6.462,2017
123.5,6.529,2018
122.6,6.587,2019
121.8,6.635,2020
120.9,6.674,2021
120.1,6.704,2022
119.2,6.724,2023
118.4,6.736,2024
117.6,6.738,2025
116.7,6.732,2026
115.9,6.717,2027
115.1,6.693,2028
114.2,6.661,2029
113.4,6.620,2030
112.5,6.571,2031
111.7,6.513,2032
110.8,6.447,2033
109.8,6.372,2034
108.9,6.289,2035
107.9,6.198,2036
107.0,6.099,2037
105.9,5.992,2038
104.9,5.877,2039
103.7,5.754,2040
102.6,5.623,2041
101.4,5.484,2042
100.1,5.337,2043
98.7,5.183,2044
97.3,5.022,2045
95.7,4.854,2046
94.1,4.679,2047
92.3,4.497,2048
90.4,4.309,2049
88.3,4.115,2050